,original_organization_name,new_organization_name,organization_status,summary_of_organization,ten_keywords_describing_organization,estimated_funding,source_estimated_funding,estimated_number_of_employees,source_estimated_number_of_employees
63,Fermi National Accelerator Laboratory,"Fermi Research Alliance, LLC",['Active'],"Fermilab is America's particle physics and accelerator laboratory, dedicated to exploring the fundamental mysteries of matter, energy, space, and time. It operates extensive research programs, including the Deep Underground Neutrino Experiment (DUNE), and hosts public engagement initiatives.","['particle physics', 'accelerator laboratory', 'neutrinos', 'quantum computing', 'fundamental science', 'public engagement', 'research collaborations', 'DOE (Department of Energy)', 'DUNE experiment', 'STEM education']",Approximately $280 million annually,U.S. Department of Energy budget reports,"Approximately 1,700",Fermilab Human Resources Department
64,Hanford Mission Integration Solutions,,['Not Active'],"Hanford Mission Integration Solutions was involved in the management and oversight of the Hanford Site, focusing on environmental cleanup and safety. However, due to lack of information and the current status, it appears the organization is no longer active.","['Hanford', 'Environmental', 'Cleanup', 'Safety', 'Management', 'Oversight', 'Nuclear', 'Waste', 'Infrastructure', 'Regulatory']",N/A,N/A,N/A,N/A
65,Office of the Secretary,Food Safety.gov,Active,"FoodSafety.gov serves as a central information hub for safe food handling and preventative measures against foodborne illnesses, providing resources such as recalls, outbreak information, and safety guidelines.","['Food Safety', 'Recalls', 'Outbreaks', 'Preventive Measures', 'Foodborne Illness', 'Consumer Information', 'Health Guidelines', 'Food Storage', 'Reports', 'Public Awareness']",Not publicly available,N/A,Not publicly available,N/A
66,"Office of Disease Prevention and Health Promotion, Office of the Secretary",Office of Disease Prevention and Health Promotion,['Active'],The Office of Disease Prevention and Health Promotion (ODPHP) is part of the U.S. Department of Health and Human Services. It is dedicated to improving the health of the American people by providing trusted information and resources on disease prevention and health promotion.,"['Health Promotion', 'Disease Prevention', 'Public Health', 'Preventive Services', 'Nutrition', 'Exercise', 'Mental Health', 'Screenings', 'Vaccines', 'Family Health']",Not publicly available,Office of Disease Prevention and Health Promotion,Not publicly available,Office of Disease Prevention and Health Promotion
67,"Office of Disease Prevention and Health Promotion, Office of the Secretary",Office of Disease Prevention and Health Promotion (ODPHP),Active,"The Office of Disease Prevention and Health Promotion (ODPHP) is dedicated to improving the health and well-being of all Americans by leading on policy, practices, and programs through the application of science, innovation, education, and a commitment to social justice and equity. They focus on prevention, nutrition, and physical activity programs, such as Healthy People and the President's Council on Sports, Fitness & Nutrition.","['Health', 'Prevention', 'Nutrition', 'Physical Activity', 'Well-being', 'Public Health', 'Equity', 'Policy', 'Innovation', 'Education']",Not available,N/A,Not available,N/A
68,Office of the Secretary,Department of Health and Human Services,['Active'],"The Office of the Secretary is responsible for overseeing the Department of Health and Human Services (HHS), which is the U.S. government’s principal agency for protecting the health of all Americans and providing essential human services, especially for those who are least able to help themselves.","['Health', 'Human Services', 'Secretary', 'Federal', 'Programs', 'Policy', 'Welfare', 'Public Health', 'Regulations', 'Administration']",Approx. $1 trillion (FY 2023),Federal Budget Overview,"80,000",Department of Health and Human Services Staffing Reports
69,Government National Mortgage Association,Ginnie Mae,Active,"Ginnie Mae, a part of the U.S. Department of Housing and Urban Development, helps provide affordable housing finance by guaranteeing securities backed by mortgage loans. It ensures liquidity for various federal housing programs, making homeownership and rental housing accessible for millions.","['affordable housing', 'mortgage-backed securities', 'liquidity', 'federal programs', 'urban development', 'homeownership', 'affordability', 'sustainability', 'community support', 'equitable finance']",Approximately $2.64 Trillion in MBS portfolio,Ginnie Mae Press Release,Not specified,Not publicly available
70,Web Master Pulic Affair,Department of Housing and Urban Development,Active,"The Department of Housing and Urban Development (HUD) is a federal agency that focuses on national housing policies, providing support for affordable housing, and uplifting communities across the United States. HUD offers resources for rental assistance, homeownership, and disaster recovery.","['housing', 'urban development', 'community support', 'rental assistance', 'homeownership', 'disaster recovery', 'federal agency', 'affordable housing', 'housing discrimination', 'Community Development Block Grant']",Not specified,HUD budget,"Approximately 8,000",Federal employee statistics
71,U.S. Fish and Wildlife Service,U.S. Fish and Wildlife Service,Active,"The U.S. Fish and Wildlife Service is a federal agency dedicated to the management and conservation of fish, wildlife, plants, and their habitats. Founded in 1903, it operates more than 560 National Wildlife Refuges and 70 national fish hatcheries, supporting a variety of conservation projects and initiatives aimed at protecting the nation's natural heritage.","['conservation', 'wildlife', 'habitat', 'protection', 'endangered species', 'biodiversity', 'sustainability', 'native species', 'ecosystem', 'education']",$1.9 billion (2023 Appropriations),Department of the Interior Budget,"7,800",U.S. Fish and Wildlife Service Annual Report
72,Federal Remediation Roundtable,Federal Remediation Technologies Roundtable,['Active'],"The Federal Remediation Technologies Roundtable (FRTR) is a collaborative initiative among federal agencies aimed at promoting the use of innovative technologies for the cleanup of hazardous waste contamination. It brings together federal cleanup program managers to share information, discuss future remediation directions, and foster interagency cooperation.","['hazardous waste', 'remediation', 'federal agencies', 'technology transfer', 'environmental cleanup', 'interagency cooperation', 'collaboration', 'innovation', 'contamination', 'regulatory acceptance']",Not publicly disclosed,Federal budget appropriations,Not specified,Not available
